Sno,Stack_Type,Process_Status,N_Min_Max_Type,Measurement_Method,Height
307,AB,After_Rivetting,Min,Vernier_Caliper,100.39
308,AB,After_Rivetting,Min,Vernier_Caliper,100.45
309,AB,After_Rivetting,Min,Vernier_Caliper,100.69
310,AB,After_Rivetting,Min,Vernier_Caliper,100.71
311,AB,After_Rivetting,Min,Vernier_Caliper,100.74
312,AB,After_Rivetting,Min,Vernier_Caliper,100.64
313,AB,After_Rivetting,Min,Vernier_Caliper,100.42
314,AB,After_Rivetting,Min,Vernier_Caliper,100.28
315,AB,After_Rivetting,Min,Vernier_Caliper,100.62
316,AB,After_Rivetting,Min,Vernier_Caliper,100.78
317,AB,After_Rivetting,Min,Vernier_Caliper,100.37
318,AB,After_Rivetting,Min,Vernier_Caliper,100.72
319,AB,After_Rivetting,Min,Vernier_Caliper,100.37
320,AB,After_Rivetting,Min,Vernier_Caliper,100.19
321,AB,After_Rivetting,Min,Vernier_Caliper,100.33
322,AB,After_Rivetting,Min,Vernier_Caliper,100.34
323,AB,After_Rivetting,Min,Vernier_Caliper,100.31
324,AB,After_Rivetting,Min,Vernier_Caliper,100.27
325,AB,After_Rivetting,Min,Vernier_Caliper,100.42
326,AB,After_Rivetting,Max,Vernier_Caliper,100.79
327,AB,After_Rivetting,Max,Vernier_Caliper,100.97
328,AB,After_Rivetting,Max,Vernier_Caliper,101.03
329,AB,After_Rivetting,Max,Vernier_Caliper,100.86
330,AB,After_Rivetting,Max,Vernier_Caliper,100.68
331,AB,After_Rivetting,Max,Vernier_Caliper,100.68
332,AB,After_Rivetting,Max,Vernier_Caliper,100.72
333,AB,After_Rivetting,Max,Vernier_Caliper,100.69
334,AB,After_Rivetting,Max,Vernier_Caliper,100.82
335,AB,After_Rivetting,Max,Vernier_Caliper,100.92
336,AB,After_Rivetting,Max,Vernier_Caliper,100.93
337,AB,After_Rivetting,Max,Vernier_Caliper,100.88
338,AB,After_Rivetting,Max,Vernier_Caliper,100.68
339,AB,After_Rivetting,Max,Vernier_Caliper,100.51
340,AB,After_Rivetting,Max,Vernier_Caliper,100.84
341,AB,After_Rivetting,Max,Vernier_Caliper,100.98
342,AB,After_Rivetting,Max,Vernier_Caliper,100.52
343,AB,After_Rivetting,Max,Vernier_Caliper,100.94
344,AB,After_Rivetting,Max,Vernier_Caliper,100.49
345,AB,After_Rivetting,Max,Vernier_Caliper,100.34
346,AB,After_Rivetting,Max,Vernier_Caliper,100.54
347,AB,After_Rivetting,Max,Vernier_Caliper,100.42
348,AB,After_Rivetting,Max,Vernier_Caliper,100.53
349,AB,After_Rivetting,Max,Vernier_Caliper,100.58
350,AB,After_Rivetting,Max,Vernier_Caliper,100.68
